Time (ms), Raw speed error (mV), Raw speed (mrad/s), Reference (mV), Control output (mV)
26799, 79, 5391, 3000, 8687
26849, 79, 5391, 3000, 8775
26899, 21, 5497, 3000, 8689
26950, 21, 5497, 3000, 8690
26999, -8, 5551, 3000, 8736
27050, 50, 5444, 3000, 8779
27099, 79, 5391, 3000, 8780
27149, 79, 5391, 3000, 8738
27199, 79, 5391, 3000, 8694
27249, 21, 5497, 3000, 8695
27299, -8, 5551, 3000, 8695
27351, 50, 5444, 3000, 8783
27399, 79, 5391, 3000, 8742
27449, 50, 5444, 3000, 8742
27499, 79, 5391, 3000, 8743
27549, 50, 5444, 3000, 8699
27599, 50, 5444, 3000, 8700
27649, -8, 5551, 3000, 8701
27699, 50, 5444, 3000, 8746
27750, 50, 5444, 3000, 8789
27799, 50, 5444, 3000, 8703
27849, 21, 5497, 3000, 8703
27900, 21, 5497, 3000, 8749
27949, 21, 5497, 3000, 8750
27999, 79, 5391, 3000, 8835
28049, 50, 5444, 3000, 8706
28099, 21, 5497, 3000, 8707
28149, 21, 5497, 3000, 8837
28200, 21, 5497, 3000, 8753
28249, 133, 5290, 3000, 8796
28299, -8, 5551, 3000, 8619
28349, 21, 5497, 3000, 8755
28400, 21, 5497, 3000, 8756
28449, 21, 5497, 3000, 8799
28500, 79, 5391, 3000, 8712
28549, -8, 5551, 3000, 8713
28599, 50, 5444, 3000, 8759
28649, 79, 5391, 3000, 8760
28699, 133, 5290, 3000, 8802
28749, -8, 5551, 3000, 8716
28800, 21, 5497, 3000, 8717
28849, 79, 5391, 3000, 8762
28899, -8, 5551, 3000, 8718
28949, 21, 5497, 3000, 8718
28999, 21, 5497, 3000, 8719
29049, 50, 5444, 3000, 8765
29099, 50, 5444, 3000, 8720
29150, -8, 5551, 3000, 8720
29199, 21, 5497, 3000, 8721
29252, 21, 5497, 3000, 8767
29299, 50, 5444, 3000, 8767
29350, -8, 5551, 3000, 8632
29399, 21, 5497, 3000, 8768
29449, 50, 5444, 3000, 8853
29499, 50, 5444, 3000, 8724
29551, 21, 5497, 3000, 8725
29601, -8, 5551, 3000, 8771
29650, 106, 5340, 3000, 8813
29699, 50, 5444, 3000, 8727
29749, -8, 5497, 3000, 8727
29799, 21, 5497, 3000, 8728
29849, 106, 5340, 3000, 8858
29900, 50, 5444, 3000, 8774
29951, -8, 5551, 3000, 8730
29999, 21, 5497, 3000, 8860
30049, 50, 5444, 3000, 8776
