Time (ms), Raw speed error (mV), Raw speed (mrad/s), Reference (mV), Control output (mV)
20149, 50, 5444, 3000, 8544
20199, 106, 5340, 3000, 8588
20249, 79, 5391, 3000, 8591
20299, 133, 5290, 3000, 8551
20350, 106, 5340, 3000, 8554
20399, 106, 5340, 3000, 8598
20449, 106, 5340, 3000, 8558
20499, 50, 5444, 3000, 8560
20549, 79, 5391, 3000, 8520
20600, 79, 5391, 3000, 8606
20650, 106, 5340, 3000, 8525
20699, 106, 5340, 3000, 8527
20749, 79, 5391, 3000, 8652
20799, 79, 5391, 3000, 8574
20849, 160, 5240, 3000, 8618
20899, 79, 5391, 3000, 8621
20949, 50, 5444, 3000, 8581
20999, 79, 5391, 3000, 8746
21049, 133, 5290, 3000, 8627
21099, -8, 5551, 3000, 8588
21149, 106, 5340, 3000, 8590
21200, 133, 5290, 3000, 8634
21249, 50, 5444, 3000, 8718
21299, 79, 5391, 3000, 8639
21350, 106, 5340, 3000, 8600
21399, 133, 5290, 3000, 8602
21449, 50, 5444, 3000, 8646
21500, 79, 5391, 3000, 8518
21549, 106, 5340, 3000, 8607
21599, 50, 5444, 3000, 8652
21649, 50, 5444, 3000, 8654
21699, 106, 5340, 3000, 8614
21749, 106, 5340, 3000, 8573
21800, 79, 5391, 3000, 8575
21850, 50, 5444, 3000, 8661
21899, 79, 5391, 3000, 8579
21949, 106, 5340, 3000, 8581
21999, 79, 5391, 3000, 8584
22049, 79, 5391, 3000, 8540
22101, 21, 5497, 3000, 8671
22149, 21, 5497, 3000, 8589
22199, 160, 5240, 3000, 8590
22249, 106, 5340, 3000, 8592
22299, 50, 5444, 3000, 8679
22350, 50, 5444, 3000, 8680
22399, 50, 5444, 3000, 8598
22449, 133, 5290, 3000, 8600
22499, 106, 5340, 3000, 8557
22549, 79, 5391, 3000, 8645
22600, 79, 5391, 3000, 8689
22649, 21, 5497, 3000, 8607
22700, 50, 5444, 3000, 8651
22749, 79, 5391, 3000, 8565
22799, 106, 5340, 3000, 8654
22849, 106, 5340, 3000, 8656
22899, 79, 5391, 3000, 8658
22950, 50, 5444, 3000, 8660
23000, 21, 5497, 3000, 8703
23049, 79, 5391, 3000, 8705
23102, 106, 5340, 3000, 8577
23149, 50, 5444, 3000, 8624
23199, 133, 5290, 3000, 8748
23250, 50, 5444, 3000, 8711
23299, 79, 5391, 3000, 8670
23349, 79, 5391, 3000, 8672
23399, 21, 5444, 3000, 8586
23449, 21, 5497, 3000, 8588
23499, 50, 5444, 3000, 8634
23551, 79, 5391, 3000, 8678
23599, 106, 5340, 3000, 8722
23649, 50, 5444, 3000, 8723
23699, 106, 5340, 3000, 8724
23749, 106, 5340, 3000, 8684
23800, 21, 5497, 3000, 8685
23851, 50, 5444, 3000, 8686
23900, 50, 5444, 3000, 8646
23949, 21, 5497, 3000, 8648
24000, 21, 5497, 3000, 8691
24050, 50, 5444, 3000, 8650
24101, 21, 5497, 3000, 8652
24150, 50, 5444, 3000, 8608
24199, 21, 5497, 3000, 8610
24250, 21, 5497, 3000, 8611
24300, 79, 5391, 3000, 8612
24349, 106, 5340, 3000, 8658
24400, 79, 5391, 3000, 8614
24450, 79, 5391, 3000, 8660
24500, 106, 5340, 3000, 8662
24549, 21, 5497, 3000, 8705
24599, 79, 5391, 3000, 8706
24649, 50, 5444, 3000, 8750
24700, 79, 5391, 3000, 8667
24749, 106, 5340, 3000, 8668
24799, 79, 5391, 3000, 8712
24850, 106, 5340, 3000, 8671
24899, 106, 5340, 3000, 8715
24949, 50, 5444, 3000, 8716
25000, 79, 5391, 3000, 8717
25049, 79, 5391, 3000, 8676
25099, 79, 5391, 3000, 8677
25149, 79, 5391, 3000, 8633
25199, 79, 5391, 3000, 8634
25249, -8, 5551, 3000, 8635
25300, 21, 5497, 3000, 8637
25349, 21, 5497, 3000, 8637
25399, 21, 5497, 3000, 8639
25449, 50, 5444, 3000, 8685
25500, 21, 5497, 3000, 8641
25549, 21, 5497, 3000, 8687
